id,performance_id,product_id,quantity,created_at,updated_at
1,1,1,75,2015-04-20 03:47:20 UTC,2015-05-11 02:26:14 UTC
2,1,3,10,2015-04-20 03:47:20 UTC,2015-05-11 02:26:14 UTC
3,1,2,99,2015-04-20 03:47:20 UTC,2015-05-11 02:26:14 UTC
4,2,1,50,2015-04-20 03:47:20 UTC,2015-04-20 03:47:20 UTC
5,2,2,70,2015-04-20 03:47:20 UTC,2015-04-20 03:47:20 UTC
6,2,3,10,2015-04-20 03:47:20 UTC,2015-04-20 03:47:20 UTC
7,3,1,50,2015-04-20 03:47:20 UTC,2015-04-20 03:47:20 UTC
8,3,2,70,2015-04-20 03:47:21 UTC,2015-04-20 03:47:21 UTC
9,3,3,10,2015-04-20 03:47:21 UTC,2015-04-20 03:47:21 UTC
10,4,1,40,2015-04-20 03:47:21 UTC,2015-05-04 18:44:30 UTC
11,4,3,10,2015-04-20 03:47:21 UTC,2015-05-04 18:44:30 UTC
12,4,2,50,2015-04-20 03:47:21 UTC,2015-05-04 18:44:30 UTC
13,5,1,50,2015-04-20 03:47:21 UTC,2015-04-20 03:47:21 UTC
14,5,3,10,2015-04-20 03:47:21 UTC,2015-05-01 19:38:51 UTC
15,5,2,70,2015-04-20 03:47:21 UTC,2015-05-01 19:38:51 UTC
16,6,1,50,2015-04-20 03:47:21 UTC,2015-04-20 03:47:21 UTC
17,6,2,60,2015-04-20 03:47:21 UTC,2015-04-29 14:02:52 UTC
18,6,3,10,2015-04-20 03:47:21 UTC,2015-04-20 03:47:21 UTC
19,7,1,50,2015-04-20 03:47:21 UTC,2015-04-20 03:47:21 UTC
20,7,2,70,2015-04-20 03:47:22 UTC,2015-04-20 03:47:22 UTC
21,7,3,10,2015-04-20 03:47:22 UTC,2015-04-20 03:47:22 UTC
22,8,1,50,2015-04-20 03:47:22 UTC,2015-04-20 03:47:22 UTC
23,8,2,70,2015-04-20 03:47:22 UTC,2015-04-20 03:47:22 UTC
24,8,3,10,2015-04-20 03:47:22 UTC,2015-04-20 03:47:22 UTC
25,9,1,50,2015-04-20 03:47:22 UTC,2015-04-20 03:47:22 UTC
26,9,2,70,2015-04-20 03:47:22 UTC,2015-04-20 03:47:22 UTC
27,9,3,10,2015-04-20 03:47:22 UTC,2015-04-20 03:47:22 UTC
28,10,1,50,2015-04-20 03:47:22 UTC,2015-04-20 03:47:22 UTC
29,10,2,70,2015-04-20 03:47:22 UTC,2015-04-20 03:47:22 UTC
30,10,3,10,2015-04-20 03:47:22 UTC,2015-04-20 03:47:22 UTC
31,11,1,50,2015-04-20 03:47:22 UTC,2015-04-20 03:47:22 UTC
32,11,2,70,2015-04-20 03:47:23 UTC,2015-04-20 03:47:23 UTC
33,11,3,10,2015-04-20 03:47:23 UTC,2015-04-20 03:47:23 UTC
34,12,1,40,2015-04-20 03:47:23 UTC,2015-05-04 18:37:52 UTC
35,12,3,10,2015-04-20 03:47:23 UTC,2015-05-04 18:37:52 UTC
36,12,2,50,2015-04-20 03:47:23 UTC,2015-05-04 18:37:52 UTC
37,13,1,78,2015-04-20 03:47:23 UTC,2015-04-29 14:15:42 UTC
38,13,2,75,2015-04-20 03:47:23 UTC,2015-04-29 14:15:42 UTC
39,13,3,9,2015-04-20 03:47:23 UTC,2015-04-29 14:15:42 UTC
43,15,1,50,2015-04-20 03:47:24 UTC,2015-04-20 03:47:24 UTC
44,15,2,70,2015-04-20 03:47:24 UTC,2015-04-20 03:47:24 UTC
45,15,3,10,2015-04-20 03:47:24 UTC,2015-04-20 03:47:24 UTC
46,16,6,60,2015-04-20 03:47:24 UTC,2015-04-29 14:00:14 UTC
47,16,7,11,2015-04-20 03:47:24 UTC,2015-05-01 19:37:13 UTC
48,16,8,59,2015-04-20 03:47:24 UTC,2015-05-01 19:37:13 UTC
49,17,1,50,2015-04-20 03:47:24 UTC,2015-04-20 03:47:24 UTC
50,17,2,70,2015-04-20 03:47:24 UTC,2015-04-20 03:47:24 UTC
51,17,3,10,2015-04-20 03:47:24 UTC,2015-04-20 03:47:24 UTC
52,18,6,99,2015-04-20 03:47:24 UTC,2015-04-27 04:37:14 UTC
53,18,7,10,2015-04-20 03:47:24 UTC,2015-05-01 19:39:58 UTC
54,18,8,100,2015-04-20 03:47:25 UTC,2015-05-01 19:39:58 UTC
55,19,1,50,2015-04-20 03:47:25 UTC,2015-04-20 03:47:25 UTC
56,19,3,10,2015-04-20 03:47:25 UTC,2015-05-01 19:35:48 UTC
57,19,2,70,2015-04-20 03:47:25 UTC,2015-05-01 19:35:48 UTC
58,20,1,99,2015-04-20 03:47:25 UTC,2015-05-01 19:41:25 UTC
59,20,3,12,2015-04-20 03:47:25 UTC,2015-05-01 19:41:25 UTC
60,20,2,144,2015-04-20 03:47:25 UTC,2015-05-01 19:41:25 UTC
61,21,6,76,2015-04-20 03:47:25 UTC,2015-04-29 14:12:42 UTC
62,21,8,109,2015-04-20 03:47:25 UTC,2015-04-29 14:12:42 UTC
63,21,7,9,2015-04-20 03:47:25 UTC,2015-04-29 14:12:42 UTC
64,22,6,50,2015-04-20 03:47:25 UTC,2015-05-04 05:02:43 UTC
65,22,7,11,2015-04-20 03:47:25 UTC,2015-05-04 05:02:43 UTC
66,22,8,54,2015-04-20 03:47:26 UTC,2015-05-04 05:02:43 UTC
67,23,6,58,2015-04-20 03:47:26 UTC,2015-04-29 13:57:36 UTC
68,23,8,60,2015-04-20 03:47:26 UTC,2015-04-29 13:57:36 UTC
69,23,7,10,2015-04-20 03:47:26 UTC,2015-04-29 13:57:36 UTC
70,24,1,50,2015-04-20 03:47:26 UTC,2015-04-20 03:47:26 UTC
71,24,2,70,2015-04-20 03:47:26 UTC,2015-04-20 03:47:26 UTC
72,24,3,10,2015-04-20 03:47:26 UTC,2015-04-20 03:47:26 UTC
73,25,1,50,2015-04-20 03:47:26 UTC,2015-04-20 03:47:26 UTC
74,25,2,70,2015-04-20 03:47:26 UTC,2015-04-20 03:47:26 UTC
75,25,3,10,2015-04-20 03:47:26 UTC,2015-04-20 03:47:26 UTC
76,26,1,50,2015-04-20 03:47:26 UTC,2015-04-20 03:47:26 UTC
77,26,2,70,2015-04-20 03:47:27 UTC,2015-04-20 03:47:27 UTC
78,26,3,10,2015-04-20 03:47:27 UTC,2015-04-20 03:47:27 UTC
79,27,1,50,2015-04-20 03:47:27 UTC,2015-04-20 03:47:27 UTC
80,27,2,70,2015-04-20 03:47:27 UTC,2015-04-20 03:47:27 UTC
81,27,3,10,2015-04-20 03:47:27 UTC,2015-04-20 03:47:27 UTC
82,28,1,50,2015-04-20 03:47:27 UTC,2015-04-20 03:47:27 UTC
83,28,2,70,2015-04-20 03:47:27 UTC,2015-04-20 03:47:27 UTC
