id,theater_id,name,duration,intermission,opening,closeing,comments,created_at,updated_at
1,2,Newsies,180,90,2012-03-16 00:00:00 UTC,2014-08-24 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-05-11 02:25:24 UTC
2,3,Wicked,180,90,1969-01-01 00:00:00 UTC,3000-01-01 00:00:00 UTC,,2014-12-05 00:00:00 UTC,2014-12-05 00:00:00 UTC
3,4,Lion King,180,90,1969-01-01 00:00:00 UTC,3000-01-01 00:00:00 UTC,,2014-12-05 00:00:00 UTC,2014-12-05 00:00:00 UTC
4,5,Mamma Mia,180,90,1969-01-01 00:00:00 UTC,2015-09-13 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-10-12 14:33:44 UTC
5,6,Chicago,180,90,1996-10-23 00:00:00 UTC,3000-01-01 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-11-03 18:21:46 UTC
6,7,"Book of Mormon, The",180,90,2011-02-24 00:00:00 UTC,3000-01-01 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-11-03 18:20:34 UTC
7,8,Phantom of the Opera,180,90,1969-01-01 00:00:00 UTC,3000-01-01 00:00:00 UTC,,2014-12-05 00:00:00 UTC,2014-12-05 00:00:00 UTC
8,9,Les Miserables,180,90,2014-03-01 00:00:00 UTC,3000-01-01 00:00:00 UTC,,2014-12-05 00:00:00 UTC,2014-12-05 00:00:00 UTC
9,10,Motown,180,90,1969-01-01 00:00:00 UTC,2015-01-18 00:00:00 UTC,,2014-12-05 00:00:00 UTC,2014-12-05 00:00:00 UTC
10,11,Kinky Boots,180,90,2013-03-03 00:00:00 UTC,3000-01-01 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-10-30 03:47:23 UTC
11,12,Matilda,180,90,1969-01-01 00:00:00 UTC,3000-01-01 00:00:00 UTC,,2014-12-05 00:00:00 UTC,2014-12-05 00:00:00 UTC
12,13,Jersey Boys,180,90,1969-01-01 00:00:00 UTC,3000-01-01 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-05-04 18:37:52 UTC
13,14,Hedwig and the Angry Inch,180,90,2014-03-29 00:00:00 UTC,2015-09-11 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-10-12 15:08:24 UTC
15,16,Of Mice and Men,180,90,2014-04-16 00:00:00 UTC,2014-07-20 00:00:00 UTC,,2014-12-05 00:00:00 UTC,2014-12-05 00:00:00 UTC
16,28,Aladdin,180,90,2014-02-26 00:00:00 UTC,3000-01-01 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-04-29 14:00:14 UTC
17,8,Cinderella,180,90,2013-01-05 00:00:00 UTC,2015-01-03 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-10-30 03:36:32 UTC
18,17,Curious Incident,180,90,2014-09-07 00:00:00 UTC,3000-01-01 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-10-30 03:29:13 UTC
19,22,A Delicate Balance,180,90,2014-10-12 00:00:00 UTC,2015-02-22 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-10-30 03:24:09 UTC
20,25,Disgraced,180,90,2014-10-23 00:00:00 UTC,2015-03-01 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-05-16 02:18:40 UTC
21,33,Gentleman's Guide,180,90,2013-09-29 00:00:00 UTC,3000-01-01 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-10-30 03:35:47 UTC
22,30,If/Then,180,90,2014-03-05 00:00:00 UTC,2015-03-22 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-07-17 07:00:51 UTC
23,24,It's Only a Play,180,90,2014-09-02 00:00:00 UTC,2015-06-05 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-06-11 15:33:43 UTC
24,27,"Last Ship, The",180,90,2014-10-26 00:00:00 UTC,2015-01-25 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-05-04 20:18:10 UTC
25,20,Love Letters,180,90,2014-09-07 00:00:00 UTC,2014-12-14 00:00:00 UTC,"",2014-12-05 00:00:00 UTC,2015-10-30 03:31:12 UTC
